"star_programs","program","specialty"
"Florida State University College of Medicine (Sarasota)_Internal Medicine","Florida State University College of Medicine (Sarasota)","Internal Medicine"
"Greater Baltimore Medical Center_Internal Medicine","Greater Baltimore Medical Center","Internal Medicine"
"Charleston Area Medical Center/West Virginia University (Charleston Division)_Internal Medicine","Charleston Area Medical Center/West Virginia University (Charleston Division)","Internal Medicine"
"WellStar Atlanta Medical Center_Internal Medicine","WellStar Atlanta Medical Center","Internal Medicine"
"WellStar Kennestone Regional Medical Center_Internal Medicine","WellStar Kennestone Regional Medical Center","Internal Medicine"
"William Beaumont Hospital_Internal Medicine","William Beaumont Hospital","Internal Medicine"
"Marshall University School of Medicine_Internal Medicine","Marshall University School of Medicine","Internal Medicine"
"Naples Community Hospital, Inc_Internal Medicine","Naples Community Hospital, Inc","Internal Medicine"
"University of Central Florida College of Medicine/HCA GME Consortium (Ocala)_Internal Medicine","University of Central Florida College of Medicine/HCA GME Consortium (Ocala)","Internal Medicine"
"University of Missouri at Kansas City_Internal Medicine","University of Missouri at Kansas City","Internal Medicine"
"Arrowhead Regional Medical Center_Internal Medicine","Arrowhead Regional Medical Center","Internal Medicine"
"Eisenhower Medical Center_Internal Medicine","Eisenhower Medical Center","Internal Medicine"
"St Vincent Hospital and Health Care Center (Indianapolis)_Internal Medicine","St Vincent Hospital and Health Care Center (Indianapolis)","Internal Medicine"
"University of Maryland Medical Center Midtown Campus_Internal Medicine","University of Maryland Medical Center Midtown Campus","Internal Medicine"
"Vidant Medical Center/East Carolina University_Internal Medicine","Vidant Medical Center/East Carolina University","Internal Medicine"
"White Memorial Medical Center_Internal Medicine","White Memorial Medical Center","Internal Medicine"
"AtlantiCare Regional Medical Center_Internal Medicine","AtlantiCare Regional Medical Center","Internal Medicine"
"Louis A Weiss Memorial Hospital_Internal Medicine","Louis A Weiss Memorial Hospital","Internal Medicine"
"Sinai Hospital of Baltimore_Internal Medicine","Sinai Hospital of Baltimore","Internal Medicine"
"Bridgeport Hospital/Yale University_Internal Medicine","Bridgeport Hospital/Yale University","Internal Medicine"
"Mary Hitchcock Memorial Hospital/Dartmouth-Hitchcock_Internal Medicine","Mary Hitchcock Memorial Hospital/Dartmouth-Hitchcock","Internal Medicine"
"Michigan State University_Internal Medicine","Michigan State University","Internal Medicine"
"Stamford Hospital/Columbia University College of Physicians and Surgeons_Internal Medicine","Stamford Hospital/Columbia University College of Physicians and Surgeons","Internal Medicine"
"Advocate Health Care (Advocate Illinois Masonic Medical Center)_Internal Medicine","Advocate Health Care (Advocate Illinois Masonic Medical Center)","Internal Medicine"
"University at Buffalo (Catholic Health System--Sisters of Charity)_Internal Medicine","University at Buffalo (Catholic Health System--Sisters of Charity)","Internal Medicine"
"Creighton University School of Medicine_Internal Medicine","Creighton University School of Medicine","Internal Medicine"
"Carilion Clinic-Virginia Tech Carilion School of Medicine_Internal Medicine","Carilion Clinic-Virginia Tech Carilion School of Medicine","Internal Medicine"
"Gundersen Lutheran Medical Foundation_Internal Medicine","Gundersen Lutheran Medical Foundation","Internal Medicine"
"University of Iowa (Des Moines)_Internal Medicine","University of Iowa (Des Moines)","Internal Medicine"
"Henry Ford Allegiance Health_Internal Medicine","Henry Ford Allegiance Health","Internal Medicine"
"Baylor College of Medicine_Internal Medicine-Pediatrics","Baylor College of Medicine","Internal Medicine-Pediatrics"
"Ohio State University Hospital_Internal Medicine-Pediatrics","Ohio State University Hospital","Internal Medicine-Pediatrics"
"Rush University Medical Center_Internal Medicine-Pediatrics","Rush University Medical Center","Internal Medicine-Pediatrics"
"UCLA Medical Center_Internal Medicine-Pediatrics","UCLA Medical Center","Internal Medicine-Pediatrics"
"University of Arizona College of Medicine-Phoenix_Internal Medicine-Pediatrics","University of Arizona College of Medicine-Phoenix","Internal Medicine-Pediatrics"
"University of California (San Diego)_Internal Medicine-Pediatrics","University of California (San Diego)","Internal Medicine-Pediatrics"
"University of Chicago_Internal Medicine-Pediatrics","University of Chicago","Internal Medicine-Pediatrics"
"University of Cincinnati Medical Center/College of Medicine_Internal Medicine-Pediatrics","University of Cincinnati Medical Center/College of Medicine","Internal Medicine-Pediatrics"
"University of Colorado_Internal Medicine-Pediatrics","University of Colorado","Internal Medicine-Pediatrics"
"University of Michigan_Internal Medicine-Pediatrics","University of Michigan","Internal Medicine-Pediatrics"
"University of Minnesota_Internal Medicine-Pediatrics","University of Minnesota","Internal Medicine-Pediatrics"
"University of Southern California/LAC+USC Medical Center_Internal Medicine-Pediatrics","University of Southern California/LAC+USC Medical Center","Internal Medicine-Pediatrics"
"University of Texas Health Science Center at Houston_Internal Medicine-Pediatrics","University of Texas Health Science Center at Houston","Internal Medicine-Pediatrics"
"University of Texas Southwestern Medical School_Internal Medicine-Pediatrics","University of Texas Southwestern Medical School","Internal Medicine-Pediatrics"
"Virginia Commonwealth University Health System_Internal Medicine-Pediatrics","Virginia Commonwealth University Health System","Internal Medicine-Pediatrics"
"Albany Medical Center_Internal Medicine-Pediatrics","Albany Medical Center","Internal Medicine-Pediatrics"
"Brigham and Women's Hospital/Children's Hospital/Harvard Medical School_Internal Medicine-Pediatrics","Brigham and Women's Hospital/Children's Hospital/Harvard Medical School","Internal Medicine-Pediatrics"
"Brown University_Internal Medicine-Pediatrics","Brown University","Internal Medicine-Pediatrics"
"Christiana Care Health Services_Internal Medicine-Pediatrics","Christiana Care Health Services","Internal Medicine-Pediatrics"
"Duke University Hospital_Internal Medicine-Pediatrics","Duke University Hospital","Internal Medicine-Pediatrics"
"Grand Rapids Medical Education Partners/Michigan State University_Internal Medicine-Pediatrics","Grand Rapids Medical Education Partners/Michigan State University","Internal Medicine-Pediatrics"
"Hurley Medical Center/Michigan State University_Internal Medicine-Pediatrics","Hurley Medical Center/Michigan State University","Internal Medicine-Pediatrics"
"Indiana University School of Medicine_Internal Medicine-Pediatrics","Indiana University School of Medicine","Internal Medicine-Pediatrics"
"Johns Hopkins University_Internal Medicine-Pediatrics","Johns Hopkins University","Internal Medicine-Pediatrics"
"Loma Linda University Health Education Consortium_Internal Medicine-Pediatrics","Loma Linda University Health Education Consortium","Internal Medicine-Pediatrics"
"Loyola University_Internal Medicine-Pediatrics","Loyola University","Internal Medicine-Pediatrics"
"Maine Medical Center_Internal Medicine-Pediatrics","Maine Medical Center","Internal Medicine-Pediatrics"
"Massachusetts General Hospital/Harvard Medical School_Internal Medicine-Pediatrics","Massachusetts General Hospital/Harvard Medical School","Internal Medicine-Pediatrics"
"Medical College of Wisconsin Affiliated Hospitals_Internal Medicine-Pediatrics","Medical College of Wisconsin Affiliated Hospitals","Internal Medicine-Pediatrics"
"Newark Beth Israel Medical Center_Internal Medicine-Pediatrics","Newark Beth Israel Medical Center","Internal Medicine-Pediatrics"
"Penn State Milton S Hershey Medical Center_Internal Medicine-Pediatrics","Penn State Milton S Hershey Medical Center","Internal Medicine-Pediatrics"
"Stony Brook Medicine/University Hospital_Internal Medicine-Pediatrics","Stony Brook Medicine/University Hospital","Internal Medicine-Pediatrics"
"Tufts University/Baystate Medical Center_Internal Medicine-Pediatrics","Tufts University/Baystate Medical Center","Internal Medicine-Pediatrics"
"University of Illinois College of Medicine at Chicago_Internal Medicine-Pediatrics","University of Illinois College of Medicine at Chicago","Internal Medicine-Pediatrics"
"University of Maryland_Internal Medicine-Pediatrics","University of Maryland","Internal Medicine-Pediatrics"
"University of Massachusetts_Internal Medicine-Pediatrics","University of Massachusetts","Internal Medicine-Pediatrics"
"University of North Carolina Hospitals_Internal Medicine-Pediatrics","University of North Carolina Hospitals","Internal Medicine-Pediatrics"
"University of Pennsylvania_Internal Medicine-Pediatrics","University of Pennsylvania","Internal Medicine-Pediatrics"
"University of Rochester_Internal Medicine-Pediatrics","University of Rochester","Internal Medicine-Pediatrics"
"UPMC Medical Education_Internal Medicine-Pediatrics","UPMC Medical Education","Internal Medicine-Pediatrics"
"Vanderbilt University Medical Center_Internal Medicine-Pediatrics","Vanderbilt University Medical Center","Internal Medicine-Pediatrics"
"Western Michigan University Homer Stryker MD School of Medicine_Internal Medicine-Pediatrics","Western Michigan University Homer Stryker MD School of Medicine","Internal Medicine-Pediatrics"
"Yale-New Haven Medical Center (Waterbury)_Internal Medicine-Pediatrics","Yale-New Haven Medical Center (Waterbury)","Internal Medicine-Pediatrics"
"Greenville Health System/University of South Carolina_Internal Medicine-Pediatrics","Greenville Health System/University of South Carolina","Internal Medicine-Pediatrics"
"Tulane University_Internal Medicine-Pediatrics","Tulane University","Internal Medicine-Pediatrics"
"University of Alabama Medical Center_Internal Medicine-Pediatrics","University of Alabama Medical Center","Internal Medicine-Pediatrics"
"University of Arkansas for Medical Sciences_Internal Medicine-Pediatrics","University of Arkansas for Medical Sciences","Internal Medicine-Pediatrics"
"University of Illinois College of Medicine at Peoria_Internal Medicine-Pediatrics","University of Illinois College of Medicine at Peoria","Internal Medicine-Pediatrics"
"University of Kansas (Wichita)_Internal Medicine-Pediatrics","University of Kansas (Wichita)","Internal Medicine-Pediatrics"
"University of Louisville_Internal Medicine-Pediatrics","University of Louisville","Internal Medicine-Pediatrics"
"University of Missouri-Columbia_Internal Medicine-Pediatrics","University of Missouri-Columbia","Internal Medicine-Pediatrics"
